,track_id,track_pollen_score,track_shape,track_event,track_tagid,track_hastag,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,datetime,track_starttime,track_endtime,pollen,entering,leaving,entering_leaving,walking,video_name,labelbee_videoid,video_filename,video_seq
75,75,0.0078760882058838,outside_ramp,entering,1621,True,195,1792,1084,14.931417178137554,212,1720,668,33.690067525979785,18,2017-06-21 08:00:09.750,2017-06-21 08:00:09.750,2017-06-21 08:00:10.600,False,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
83,83,0.0003324809881064,noise,,1621,True,213,1632,580,27.299572211332805,216,1592,444,15.255118703057777,4,2017-06-21 08:00:10.650,2017-06-21 08:00:10.650,2017-06-21 08:00:10.800,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
85,85,0.0389416404480891,ramp-inside,,1621,True,217,1548,316,8.880659150520245,224,1360,36,40.81508387488159,8,2017-06-21 08:00:10.850,2017-06-21 08:00:10.850,2017-06-21 08:00:11.200,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
958,958,0.0002037973572203,ramp_ramp,,516,True,2801,1792,432,152.4027041313563,2812,1672,784,172.0565281894096,12,2017-06-21 08:02:20.050,2017-06-21 08:02:20.050,2017-06-21 08:02:20.600,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
960,960,4.993902706473818e-06,noise,,516,True,2813,1636,920,176.42366562500266,2816,1672,1060,204.86369657175183,4,2017-06-21 08:02:20.650,2017-06-21 08:02:20.650,2017-06-21 08:02:20.800,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
1563,1563,1.9937450531887224e-05,noise,,516,True,4234,584,944,23.962488974578186,4236,588,816,7.853313301978219,3,2017-06-21 08:03:31.700,2017-06-21 08:03:31.700,2017-06-21 08:03:31.800,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
1564,1564,5.019166679499016e-06,ramp-inside,,516,True,4237,592,668,354.6441749571448,4262,344,252,64.79887635452492,26,2017-06-21 08:03:31.850,2017-06-21 08:03:31.850,2017-06-21 08:03:33.100,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
3302,3302,0.0002718079121272,outside_inside,entering,677,True,8855,1964,1028,347.6609127216738,8894,1692,0,18.43494882292201,40,2017-06-21 08:07:22.750,2017-06-21 08:07:22.750,2017-06-21 08:07:24.700,False,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
3572,3572,1.0675354739457058e-05,noise,,638,True,9438,1020,924,24.443954780416536,9440,964,840,26.56505117707799,3,2017-06-21 08:07:51.900,2017-06-21 08:07:51.900,2017-06-21 08:07:52.000,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
3574,3574,5.688406105589048e-06,noise,,638,True,9441,896,700,22.833654177917545,9444,880,600,24.62356478616361,4,2017-06-21 08:07:52.050,2017-06-21 08:07:52.050,2017-06-21 08:07:52.200,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
