line,event
17,entering
27,entering
58,entering
77,entering
148,exiting
187,exiting
190,entering
196,exiting
200,exiting
205,entering
295,exiting
311,entering
345,unknown
356,entering
484,exiting
491,entering
492,exiting
512,unknown
533,exiting
536,exiting
537,exiting
538,exiting
539,exiting
541,exiting
542,exiting
543,exiting
545,exiting
546,exiting
550,exiting
551,exiting
552,unknown
553,exiting
554,exiting
556,exiting
558,exiting
559,exiting
560,exiting
561,exiting
563,unknown
564,entering
566,exiting
567,exiting
582,exiting
584,exiting
586,exiting
587,exiting
588,exiting
591,exiting
596,entering
597,entering
604,exiting
623,exiting
624,unknown
627,entering
634,entering
636,exiting
638,exiting
639,entering
643,unknown
646,entering
647,entering
653,exiting
666,entering
711,entering
712,entering
713,entering
714,entering
716,entering
745,entering
750,exiting
755,entering
758,entering
759,entering
779,unknown
780,entering
782,entering
820,exiting
838,exiting
841,exiting
848,unknown
850,entering
852,entering
861,entering
863,entering
877,exiting
879,entering
880,entering
885,entering
887,entering
888,entering
889,entering
895,entering
900,entering
901,entering
907,entering
908,entering
909,entering
915,entering
919,exiting
920,entering
922,entering
923,entering
924,entering
979,entering
992,exiting
998,entering
1018,entering
1021,exiting
1022,unknown
1027,unknown
1029,entering
1032,entering
1035,exiting
1036,exiting
1037,exiting
1040,entering
1044,exiting
1045,exiting
1049,exiting
1052,exiting
1053,exiting
1055,entering
1057,exiting
1060,exiting
1061,exiting
1065,exiting
1067,exiting
1071,exiting
1072,entering
1077,exiting
1081,exiting
1082,exiting
1086,entering
1088,unknown
1090,entering
1099,exiting
1100,exiting
1101,exiting
1104,entering
1116,exiting
1119,exiting
1121,entering
1123,entering
1125,exiting
1134,entering
1141,entering
1144,entering
1146,entering
1148,entering
1155,entering
1157,exiting
1161,exiting
1173,exiting
1179,entering
1180,exiting
1202,entering
1205,entering
1211,entering
1213,entering
1214,exiting
1218,entering
1224,exiting
1227,exiting
1241,entering
1247,exiting
1249,exiting
1264,entering
1266,entering
1275,exiting
1276,entering
1282,entering
1284,entering
1289,exiting
1293,unknown
1328,exiting
1329,exiting
1331,entering
1332,exiting
1339,entering
1341,exiting
1351,unknown

