,frame,det_id,track_id,tag_id,video_name,cx,cy,angle,virtual,tag_hamming,tag_dm,tag_cx,tag_cy,score,bbox_x,bbox_y,bbox_width,bbox_height,bbox_confidence,head_x,head_y,head_conf,head_visibility,neck_x,neck_y,neck_conf,neck_visibility,thorax_x,thorax_y,thorax_conf,thorax_visibility,waist_x,waist_y,waist_conf,waist_visibility,tail_x,tail_y,tail_conf,tail_visibility,waist_src,angle_src,vx,vy,cost,pcx,pcy,pa,pvx,pvy,tag_goodness,tag_p0x,tag_p0y,tag_p1x,tag_p1y,tag_p2x,tag_p2y,tag_p3x,tag_p3y,tag_H,tag_dx,tag_dy,tag_ntags,timestamp,track_shape,track_event,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,track_starttime,track_endtime,track_tagid,track_hastag,track_dm,track_ntagidunique,track_ntagid
3880,398,10,126,1469.0,135_02_R_190821080000.cfr.mp4,2057.7216796875,81.19881439208984,-53.84561233526285,False,2.0,49.86,2049.99,32.46,0.7614479660987854,2046.880859375,161.33763122558594,258.716796875,322.6752624511719,0.6830539703369141,1988.630615234375,272.6954650878906,0.6961277723312378,2.0,2000.5867919921875,185.867431640625,0.6659661531448364,2.0,2024.49853515625,118.9878158569336,0.7291656732559204,2.0,2057.7216796875,81.19881439208984,0.7614479660987854,2.0,1960.3822021484373,311.3565673828125,0.5827075839042664,2.0,waist,"head,tail",0.0,0.0,1.0,,,,,,0.0,2043.389,47.121,2026.644,28.412,2057.167,16.523,2076.708,37.099,"[[    -7.4166,     9.0118,       2050], [    -9.6266,    -6.2101,     32.463], [   0.012731,  -0.054653,          1]]",1924.0,19.0,1.0,2019-08-21 08:00:19.900,outside_outside,unknown,398.0,2057.7216796875,81.19881439208984,-53.84561233526285,398.0,2057.7216796875,81.19881439208984,-53.84561233526285,1.0,2019-08-21 08:00:19.900,2019-08-21 08:00:19.900,1469,True,49.86,1.0,1.0
63676,4734,15,1522,,135_02_R_190821080000.cfr.mp4,1707.1184692382812,1478.55712890625,-124.51528374135418,False,,,,,0.1501842617988586,1669.68701171875,1380.420654296875,215.2142333984375,119.15869140625,0.5840257406234741,1617.4541015625,1348.169189453125,0.9953521490097046,2.0,1652.576416015625,1398.4697265625,0.9860995411872864,2.0,1677.2303466796875,1435.094482421875,0.5820911526679993,2.0,1707.1184692382812,1478.55712890625,0.1501842617988586,1.0,,,0.0008477911469526,0.0,"head,thorax","head,waist",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,2019-08-21 08:03:56.700,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63689,4735,14,1522,,135_02_R_190821080000.cfr.mp4,1703.7890014648438,1474.197021484375,-116.65571194631885,False,,,,,0.3643238425254822,1664.89404296875,1366.425537109375,218.8563232421875,147.14892578125,0.6639480590820312,1624.061767578125,1315.371337890625,0.9977123737335204,2.0,1654.03369140625,1375.2298583984375,0.9960246086120604,2.0,1677.2132568359375,1421.255126953125,0.9397771954536438,2.0,1703.7890014648438,1474.197021484375,0.3643238425254822,1.0,,,0.0010133276227861,0.0,"head,thorax","head,waist",-3.3294677734375,-4.360107421875,0.0661315526561665,1707.1184692382812,1478.55712890625,-124.51528374135418,0.0,0.0,,,,,,,,,,,,,,2019-08-21 08:03:56.750,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63703,4736,13,1522,,135_02_R_190821080000.cfr.mp4,1693.8843994140625,1473.3296508789062,-111.42113483246018,False,,,,,0.3702110648155213,1661.88134765625,1363.438232421875,197.3956298828125,153.12353515625,0.6801415085792542,1627.087890625,1303.0699462890625,0.9957270622253418,2.0,1649.5322265625,1364.264892578125,0.9960309863090516,2.0,1671.618896484375,1416.576416015625,0.9489274621009828,2.0,1693.8843994140625,1473.3296508789062,0.3702110648155213,1.0,,,0.0008222865290008,0.0,"head,thorax","head,waist",-11.5693359375,-3.04742431640625,0.0457844740581054,1702.124267578125,1472.0169677734375,-116.65571194631885,-3.3294677734375,-4.360107421875,,,,,,,,,,,,,,2019-08-21 08:03:56.800,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63716,4737,13,1522,,135_02_R_190821080000.cfr.mp4,1681.5367431640625,1457.5078125,-106.71204769555374,False,,,,,0.3924067974090577,1701.540283203125,1349.98779296875,268.2401123046875,180.0242919921875,0.7018840909004211,1627.370849609375,1277.101318359375,0.9974308609962464,2.0,1644.6986083984375,1343.06494140625,0.9856093525886536,2.0,1663.4814453125,1397.372314453125,0.9864882826805116,2.0,1681.5367431640625,1457.5078125,0.3924067974090577,1.0,,,0.0099333692342042,0.0,"head,thorax","head,waist",-18.13232421875,-17.345550537109375,0.047196303120802,1688.0997314453125,1471.8059387207031,-111.42113483246018,-11.5693359375,-3.04742431640625,,,,,,,,,,,,,,2019-08-21 08:03:56.850,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63729,4738,13,1522,,135_02_R_190821080000.cfr.mp4,1667.3241577148438,1450.7645874023438,-101.09738905493556,False,,,,,0.3926175713539123,1698.470703125,1345.87939453125,265.64990234375,188.2413330078125,0.7076399326324463,1631.363525390625,1267.427490234375,0.996974229812622,2.0,1639.3704833984375,1334.303466796875,0.9846620559692384,2.0,1655.3372802734375,1389.6522216796875,0.9866873621940612,2.0,1667.3241577148438,1450.7645874023438,0.3926175713539123,1.0,,,0.0038869532290846,0.0,"head,thorax","head,waist",-23.27874755859375,-15.416000366210938,0.0476771150647076,1672.4705810546875,1448.8350372314453,-106.71204769555374,-18.13232421875,-17.345550537109375,,,,,,,,,,,,,,2019-08-21 08:03:56.900,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63742,4739,13,1522,,135_02_R_190821080000.cfr.mp4,1676.429931640625,1440.0,-101.34116119594124,False,,,,,0.5056652426719666,1693.4630126953125,1342.5806884765625,250.87744140625,194.838623046875,0.6835014224052429,1639.703369140625,1256.88623046875,0.9957550764083862,2.0,1637.59423828125,1323.380859375,0.981950044631958,2.0,1648.20947265625,1376.747802734375,0.988329291343689,2.0,1676.429931640625,1440.0,0.5056652426719666,2.0,,,0.00113728758879,0.0,waist,"head,waist",-2.533599853515625,-18.47258758544922,0.0350075190396681,1655.6847839355469,1443.0565872192385,-101.09738905493556,-23.27874755859375,-15.416000366210938,,,,,,,,,,,,,,2019-08-21 08:03:56.950,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63756,4740,14,1522,,135_02_R_190821080000.cfr.mp4,1677.9124755859375,1427.13134765625,-106.13354753734306,False,,,,,0.8799794316291809,1672.0574951171875,1338.31201171875,216.217041015625,203.3758544921875,0.6939901113510132,1626.60498046875,1249.76220703125,0.996889054775238,2.0,1639.03173828125,1309.9326171875,0.9982833862304688,2.0,1655.212646484375,1364.417724609375,0.9978506565093994,2.0,1677.9124755859375,1427.13134765625,0.8799794316291809,2.0,,,0.0003553919668775,0.0,waist,"head,waist",0.2157440185546875,-22.10494613647461,0.0406518788516686,1675.1631317138672,1430.7637062072754,-101.34116119594124,-2.533599853515625,-18.47258758544922,,,,,,,,,,,,,,2019-08-21 08:03:57.000,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63771,4741,14,1522,,135_02_R_190821080000.cfr.mp4,1681.17578125,1398.9033203125,-103.84017636980828,False,,,,,0.9205295443534852,1678.92724609375,1325.848388671875,217.90966796875,228.30322265625,0.7217192649841309,1637.0927734375,1219.97119140625,0.9963854551315308,2.0,1640.859619140625,1281.52197265625,0.9981202483177184,2.0,1652.7933349609375,1335.903076171875,0.9983964562416076,2.0,1681.17578125,1398.9033203125,0.9205295443534852,2.0,,,0.0005463754059746,0.0,waist,"head,waist",3.371177673339844,-39.280500411987305,0.0348187852005378,1678.0203475952148,1416.0788745880127,-106.13354753734306,0.2157440185546875,-22.10494613647461,,,,,,,,,,,,,,2019-08-21 08:03:57.050,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
63785,4742,9,1522,,135_02_R_190821080000.cfr.mp4,1672.5379638671875,1370.9598388671875,-94.11230760145185,False,,,,,0.980901539325714,1674.2152099609375,1308.7342529296875,193.849609375,262.531494140625,0.814033031463623,1659.584716796875,1190.79541015625,0.9923096895217896,2.0,1658.070556640625,1250.265380859375,0.991428792476654,2.0,1662.0869140625,1302.419677734375,0.998402774333954,2.0,1672.5379638671875,1370.9598388671875,0.980901539325714,2.0,,,0.0101511571556329,0.0,waist,"head,waist",-6.952228546142578,-47.58373165130615,0.0840188823741616,1682.86137008667,1379.2630701065063,-103.84017636980828,3.371177673339844,-39.280500411987305,,,,,,,,,,,,,,2019-08-21 08:03:57.100,inside_outside,exit,4734.0,1707.1184692382812,1478.55712890625,-124.51528374135418,4891.0,1610.996337890625,102.23565673828124,-75.32924434549314,158.0,2019-08-21 08:03:56.700,2019-08-21 08:04:04.550,670,True,53.6,1.0,16.0
